CaseStudy,Reference,Scenario,Unit,Type,UnitName,ToUnitName,FromPort,Parameter
,,,,,,,,
test,nawi,baseline,passthrough,intake,gw,ix,outlet,{'water_type': ['test_water']}
test,nawi,baseline,ion_exchange,treatment,ix,product,outlet,"{""breakthrough_time"": 48}"
test,nawi,baseline,passthrough,use,product,,,
xx,nawi,baseline,passthrough,waste,sludge,,,
,,,,,,,,
brackish,nawi,baseline,well_field,intake,groundwater,iron_and_manganese_removal,outlet,"{'water_type': ['brackish_water'], 'piping_distance': 70, ""pump"": True, ""piping_cost_basis"": 82600}"
brackish,nawi,baseline,iron_and_manganese_removal,treatment,iron_and_manganese_removal,cartridge_filtration,outlet,
brackish,nawi,baseline,cartridge_filtration,treatment,cartridge_filtration,ro,outlet,
brackish,nawi,baseline,reverse_osmosis,treatment,ro,"decarbonator,waste","outlet,waste","{""target_water_recovery"": 0.8, ""erd"": True}"
brackish,nawi,baseline,basic_unit,treatment,decarbonator,chlorination,outlet,{'unit_process_name': 'decarbonator'}
brackish,nawi,baseline,chlorination,treatment,chlorination,treated_storage,outlet,
brackish,nawi,baseline,storage_tank,treatment,treated_storage,distribution,outlet,"{""storage_time"": 3}"
brackish,nawi,baseline,treated_water_pumping_station,use,distribution,,,
brackish,nawi,baseline,surface_discharge,waste,waste,,,
,,,,,,,,
brackish,nawi,zld_a,well_field,intake,groundwater,iron_and_manganese_removal,outlet,"{'water_type': ['brackish_water'], 'piping_distance': 70, ""pump"": True, ""piping_cost_basis"": 82600}"
brackish,nawi,zld_a,iron_and_manganese_removal,treatment,iron_and_manganese_removal,cartridge_filtration,outlet,
brackish,nawi,zld_a,cartridge_filtration,treatment,cartridge_filtration,ro_1,outlet,
brackish,nawi,zld_a,reverse_osmosis,treatment,ro_1,"decarbonator,lime_softening","outlet,waste","{""erd"": False}"
brackish,nawi,zld_a,lime_softening,treatment,lime_softening,"ro_2,evaporation_pond","outlet,waste",
